q-crq|vbz Who's
av back
p-acp to
n1 school
p-acp in
np1 Wittenberg
, ,
pn31 It
vbz is
av-ds most
j retrograde
p-acp to
po12 our
n1 desire
: :
cc And
pns12 we
vvb beseech
pn22 you
, ,
vvb bend
pn22 you
pc-acp to
vvi remain
av Here
, ,
p-acp in
dt the
n1 cheer
cc and
n1 comfort
pp-f of
po12 our
n1 eye
, ,
po12 Our
js-jn chiefest
n1 courtier
, ,
n1 cousin
, ,
cc and
po12 our
n1 son
. .
vvb Let
xx not
po21 thy
n1 mother
vvi lose
po31 her
n2 prayers
, ,
np1 Hamlet
: :
pns11 I
vvb pray
pno21 thee
, ,
vvb stay
pp with
pno12 us
: :
vvb go
xx not
p-acp to
np1 Wittenberg
. .
pns11 I
vmb shall
p-acp in
d all
po11 my
js best
vvi obey
pn22 you
, ,
n1 madam
. .
uh-crq Why
, ,
pn31|vbz 'tis
dt a
j-vvg loving
cc and
dt a
j fair
n1 reply
: :
vbb Be
p-acp as
px12 ourself
p-acp in
np1 Denmark
. .
n1 Madam
, ,
vvb come
; ;
d This
j gentle
cc and
j unforced
n1 accord
pp-f of
np1 Hamlet
vvz Sits
vvg smiling
p-acp to
po11 my
n1 heart
: :
p-acp in
n1 grace
c-crq whereof
, ,
dx No
j jocund
n1 health
cst that
np1 Denmark
vvz drinks
av-an to-day
, ,
cc-acp But
dt the
j great
n1 cannon
p-acp to
dt the
n2 clouds
vmb shall
vvi tell
, ,
cc And
dt the
ng1 king's
n1 rouse
dt the
n1 heaven
vmb shall
vvi bruit
av again
, ,
vvg Respeaking
j earthly
n1 thunder
. .
vvb Come
av away
. .
uh O
, ,
cst that
d this
av too
av too
j-vvn sallied
n1 flesh
vmd would
vvi melt
, ,
vvb Thaw
cc and
vvi resolve
px31 itself
pp into
dt a
n1 dew
! !
cc Or
cst that
dt the
j Everlasting
vhd had
xx not
vvn fixed
po31 His
n1 canon
pp 'gainst
n1 self-slaughter
! !
uh O
np1 God
! !
np1 God
! !
c-crq How
j weary
, ,
j stale
, ,
j flat
cc and
j unprofitable
, ,
vvb Seem
p-acp to
pno11 me
d all
dt the
n2 uses
pp-f of
d this
n1 world
! !
uh Fie
p-acp|pn31 on't
! !
uh ah
uh fie
! !
pn31|vbz 'tis
dt an
j unweeded
n1 garden
, ,
cst That
vvz grows
pc-acp to
n1 seed
; ;
n2 things
j rank
cc and
j gross
p-acp in
n1 nature
vvb Possess
pn31 it
av-j merely
. .
cst That
pn31 it
vmd should
vvi come
p-acp to
d this
! !
cc-acp But
crd two
n2 months
j dead
: :
uh nay
, ,
xx not
av so
d much
, ,
xx not
crd two
: :
av So
j excellent
dt a
n1 king
; ;
d that
vbd was
, ,
p-acp to
d this
, ,
np1 Hyperion
p-acp to
dt a
n1 satyr
; ;
av so
vvg loving
p-acp to
po11 my
n1 mother
cst That
pns31 he
vmd might
xx not
vvi beteem
dt the
n2 winds
pp-f of
n1 heaven
vvb Visit
po31 her
n1 face
av too
av-j roughly
. .
n1 Heaven
cc and
n1 earth
! !
vmb Must
pns11 I
vvi remember
? ?
uh-crq why
, ,
pns31 she
vmd should
vvi hang
a-acp on
pno31 him
, ,
c-acp As
cs if
n1 increase
pp-f of
n1 appetite
vhd had
vvn grown
p-acp By
r-crq what
pn31 it
vvd fed
a-acp on
: :
cc and
av yet
, ,
p-acp within
dt a
n1 month
vvb Let
pno11 me
xx not
vvi think
p-acp|pn31 on't
— —
n1 Frailty
, ,
po21 thy
n1 name
vbz is
n1 woman
! !
dt A
j little
n1 month
, ,
cc or
c-acp ere
d those
n2 shoes
vbd were
j old
pp With
r-crq which
pns31 she
vvd followed
po11 my
j poor
ng1 father's
n1 body
, ,
av-j Like
np1 Niobe
, ,
d all
n2 tears
: :
uh-crq why
pns31 she
, ,
av-j even
pns31 she
uh O
np1 God
! !
dt a
n1 beast
, ,
cst that
vvz wants
n1 discourse
pp-f of
n1 reason
, ,
vmd Would
vhi have
vvn mourned
av-jc longer
— —
vvn married
pp with
po11 my
n1 uncle
, ,
po11 My
ng1 father's
n1 brother
, ,
cc-acp but
av-dx no
dc more
av-j like
po11 my
n1 father
cs Than
pns11 I
p-acp to
np1 Hercules
: :
p-acp within
dt a
n1 month
: :
c-acp Ere
av yet
dt the
n1 salt
pp-f of
ds most
j unrighteous
n2 tears
vhd Had
vvn left
dt the
n-vvg flushing
p-acp in
po31 her
j-vvn galled
n2 eyes
, ,
pns31 She
vvd married
. .
uh O
, ,
av-ds most
j wicked
n1 speed
, ,
p-acp to
vvi post
pp With
d such
n1 dexterity
p-acp to
j incestuous
n2 sheets
! !
pn31 It
vbz is
xx not
ccx nor
pn31 it
vmbx cannot
vvi come
p-acp to
j good
: :
cc-acp But
vvb break
, ,
po11 my
n1 heart
; ;
c-acp for
pns11 I
vmb must
vvi hold
po11 my
n1 tongue
. .
uh-v Hail
p-acp to
po22 your
n1 lordship
! !
pns11 I
vbm am
j glad
pc-acp to
vvi see
pn22 you
av well
: :
np1 Horatio
, ,
cc or
pns11 I
vdb do
vvi forget
px11 myself
. .
dt The
d same
, ,
po11 my
n1 lord
, ,
cc and
po22 your
j poor
n1 servant
av ever
. .
n1 Sir
, ,
po11 my
j good
n1 friend
; ;
pns11|vmb I'll
vvi change
d that
n1 name
pp with
pn22 you
: :
cc And
q-crq what
vvb make
pn22 you
pp from
np1 Wittenberg
, ,
np1 Horatio
? ?
np1 Marcellus
? ?
po11 My
j good
n1 lord
pns11 I
vbm am
av very
j glad
pc-acp to
vvi see
pn22 you
. .
j Good
n1 even
, ,
n1 sir
. .
cc-acp But
q-crq what
, ,
p-acp in
n1 faith
, ,
vvb make
pn22 you
pp from
np1 Wittenberg
? ?
dt A
j truant
n1 disposition
, ,
j good
po11 my
n1 lord
. .
pns11 I
vmd would
xx not
vvi hear
po22 your
n1 enemy
vvb say
av so
, ,
ccx Nor
vmb shall
pn22 you
vdi do
po11 mine
n1 ear
cst that
n1 violence
, ,
pc-acp To
vvi make
pn31 it
n1 truster
pp-f of
po22 your
d own
n1 report
pp Against
px21 yourself
: :
pns11 I
vvb know
pn22 you
vbb are
dx no
j truant
. .
cc-acp But
q-crq what
vbz is
po22 your
n1 affair
p-acp in
np1 Elsinore
? ?
pns12|vmb We'll
vvi teach
pn22 you
pc-acp to
vvi drink
av-jn deep
c-acp ere
pn22 you
vvb depart
. .
po11 My
n1 lord
, ,
pns11 I
vvd came
pc-acp to
vvi see
po22 your
ng1 father's
n1 funeral
. .
pns11 I
uh-v prithee
, ,
vdb do
xx not
vvi mock
pno11 me
, ,
n1 fellow
n1 student
; ;
pns11 I
vvb think
pn31 it
vbd was
pc-acp to
vvi see
po11 my
ng1 mother's
n-vvg wedding
. .
av Indeed
, ,
po11 my
n1 lord
, ,
pn31 it
vvd followed
av-j hard
p-acp upon
. .
n1 Thrift
, ,
n1 thrift
, ,
np1 Horatio
! !
dt the
n1 funeral
j-vvn baked
n2 meats
vdd Did
av-jn coldly
vvi furnish
av forth
dt the
n1 marriage
n2 tables
. .
vmd Would
pns11 I
vhd had
vvn met
po11 my
js-jn dearest
n1 foe
p-acp in
n1 heaven
cc Or
av ever
pns11 I
vhd had
vvn seen
d that
n1 day
, ,
np1 Horatio
! !
po11 My
n1 father
! !
vvz methinks
pns11 I
vvb see
po11 my
n1 father
. .
q-crq Where
, ,
po11 my
n1 lord
? ?
p-acp In
po11 my
ng1 mind's
n1 eye
, ,
np1 Horatio
. .
pns11 I
vvd saw
pno31 him
a-acp once
; ;
pns31 he
vbd was
dt a
j goodly
n1 king
. .
pns31 He
vbd was
dt a
n1 man
, ,
vvb take
pno31 him
p-acp for
d all
p-acp in
d all
, ,
pns11 I
vmb shall
xx not
vvi look
p-acp upon
po31 his
j like
av again
. .
po11 My
n1 lord
, ,
pns11 I
vvb think
pns11 I
vvd saw
pno31 him
av-an yesternight
. .
vvd Saw
? ?
q-crq who
? ?
po11 My
n1 lord
, ,
dt the
n1 king
po22 your
n1 father
. .
dt The
n1 king
po11 my
n1 father
? ?
n1 Season
po22 your
n1 admiration
p-acp for
dt a
n1 while
pp With
dt an
j attent
n1 ear
, ,
c-acp till
pns11 I
vmb may
vvi deliver
, ,
p-acp Upon
dt the
n1 witness
pp-f of
d these
n2 gentlemen
, ,
d This
n1 marvel
p-acp to
pn22 you
. .
p-acp For
npg1 God's
n1 love
, ,
vvb let
pno11 me
vvi hear
. .
crd Two
n2 nights
av together
vhd had
d these
n2 gentlemen
, ,
np1 Marcellus
cc and
np1 Bernardo
, ,
p-acp on
po32 their
n1 watch
, ,
p-acp In
dt the
j dead
n1 waste
cc and
n-jn middle
pp-f of
dt the
n1 night
, ,
vbn Been
av thus
vvn encountered
. .
dt A
n1 figure
av-j like
po22 your
n1 father
, ,
vvn Armed
pp at
n1 point
av-j exactly
, ,
n1 cap-a-pe
, ,
vvz Appears
p-acp before
pno32 them
, ,
cc and
pp with
j solemn
n1 march
vvz Goes
j slow
cc and
j stately
p-acp by
pno32 them
: :
av thrice
pns31 he
vvd walked
p-acp By
po32 their
j-vvn oppressed
cc and
j fear-surprised
n2 eyes
, ,
p-acp Within
po31 his
ng1 truncheon's
n1 length
; ;
cs whilst
pns32 they
, ,
vvn distilled
av Almost
p-acp to
n1 jelly
pp with
dt the
n1 act
pp-f of
n1 fear
, ,
vvb Stand
j dumb
cc and
vvb speak
xx not
p-acp to
pno31 him
. .
d This
p-acp to
pno11 me
p-acp In
j dreadful
n1 secrecy
vvi impart
pns32 they
vdd did
; ;
cc And
pns11 I
pp with
pno32 them
dt the
ord third
n1 night
vvd kept
dt the
n1 watch
: :
c-crq Where
, ,
c-acp as
pns32 they
vhd had
vvn delivered
, ,
av-d both
p-acp in
n1 time
, ,
n1 Form
pp-f of
dt the
n1 thing
, ,
d each
n1 word
vvd made
j true
cc and
j good
, ,
dt The
n1 apparition
vvz comes
: :
pns11 I
vvd knew
po22 your
n1 father
; ;
d These
n2 hands
vbb are
xx not
av-dc more
j like
. .
cc-acp But
q-crq where
vbd was
d this
? ?
po11 My
n1 lord
, ,
p-acp upon
dt the
n1 platform
c-crq where
pns12 we
vvb watch
. .
vdd Did
pn22 you
xx not
vvi speak
p-acp to
pn31 it
? ?
po11 My
n1 lord
, ,
pns11 I
vdd did
; ;
cc-acp But
n1 answer
vvd made
pn31 it
pix none
: :
av yet
a-acp once
vvd methought
pn31 It
vvd lifted
a-acp up
pn31 it
n1 head
cc and
vdd did
vvi address
px31 Itself
p-acp to
n1 motion
, ,
av-j like
c-acp as
pn31 it
vmd would
vvi speak
; ;
cc-acp But
av-j even
av then
dt the
n1 morning
n1 cock
n1 crew
av-j loud
, ,
cc And
pp at
dt the
n1 sound
pn31 it
j-vvn shrunk
p-acp in
n1 haste
av away
, ,
cc And
vvd vanished
pp from
po12 our
n1 sight
. .
pn31|vbz 'Tis
av very
j strange
. .
c-acp As
pns11 I
vdb do
vvi live
, ,
po11 my
j-vvn honoured
n1 lord
, ,
pn31|vbz 'tis
j true
; ;
cc And
pns12 we
vdd did
vvi think
pn31 it
vvn writ
a-acp down
p-acp in
po12 our
n1 duty
pc-acp To
vvi let
pn22 you
vvi know
pp-f of
pn31 it
. .
av Indeed
, ,
av indeed
, ,
n2 sirs
, ,
cc-acp but
d this
vvz troubles
pno11 me
. .
vvb Hold
pn22 you
dt the
n1 watch
av-an to-night
? ?
pns12 We
vdb do
, ,
po11 my
n1 lord
. .
vvn Armed
, ,
vvb say
pn22 you
? ?
vvn Armed
, ,
po11 my
n1 lord
. .
pp From
n1 top
p-acp to
n1 toe
? ?
po11 My
n1 lord
, ,
pp from
n1 head
p-acp to
n1 foot
. .
av Then
vvd saw
pn22 you
xx not
po31 his
n1 face
? ?
uh O
, ,
uh yes
, ,
po11 my
n1 lord
; ;
pns31 he
vvd wore
po31 his
n1 beaver
a-acp up
. .
q-crq What
, ,
vvd looked
pns31 he
av-vvg frowningly
? ?
dt A
n1 countenance
av-dc more
p-acp in
n1 sorrow
cs than
p-acp in
n1 anger
. .
j Pale
cc or
j-jn red
? ?
uh Nay
, ,
av very
j pale
. .
cc And
vvd fixed
po31 his
n2 eyes
p-acp upon
pn22 you
? ?
av-d Most
av-j constantly
. .
pns11 I
vmd would
pns11 I
vhd had
vbn been
a-acp there
. .
pn31 It
vmd would
vhi have
d much
vvn amazed
pn22 you
. .
av Very
j like
, ,
av very
j like
. .
vvd Stayed
pn31 it
av-j long
? ?
cs While
pi one
pp with
j moderate
n1 haste
vmd might
vvi tell
dt a
crd hundred
. .
av-jc Longer
, ,
av-jc longer
. .
xx Not
c-crq when
pns11 I
vvd|pn31 saw't
. .
po31 His
n1 beard
vbd was
vvn grizzled
, ,
uh-dx no
? ?
pn31 It
vbd was
, ,
c-acp as
pns11 I
vhb have
vvn seen
pn31 it
p-acp in
po31 his
n1 life
, ,
dt A
j-jn sable
vvn silvered
. .
pns11 I
vmb will
vvi watch
av-an to-night
; ;
av Perchance
pn31|vmb 'twill
vvi walk
av again
. .
pns11 I
vvb warrant
pn31 it
vmb will
. .
cs If
pn31 it
vvb assume
po11 my
j noble
ng1 father's
n1 person
, ,
pns11|vmb I'll
vvi speak
p-acp to
pn31 it
, ,
c-acp though
n1 hell
px31 itself
vmd should
vvi gape
cc And
vvi bid
pno11 me
vvi hold
po11 my
n1 peace
. .
pns11 I
vvb pray
pn22 you
d all
, ,
cs If
pn22 you
vhb have
av hitherto
vvn concealed
d this
n1 sight
, ,
vvb Let
pn31 it
vbi be
j tenable
p-acp in
po22 your
n1 silence
av still
; ;
cc And
r-crq whatsoever
av else
vmb shall
vvi hap
av-an to-night
, ,
vvb Give
pn31 it
dt an
n1 understanding
, ,
cc-acp but
dx no
n1 tongue
: :
pns11 I
vmb will
vvi requite
po22 your
n2 loves
. .
av So
, ,
vvb fare
pn22 you
av well
: :
p-acp Upon
dt the
n1 platform
, ,
pp 'twixt
crd eleven
cc and
crd twelve
, ,
pns11|vmb I'll
vvi visit
pn22 you
. .
po12 Our
n1 duty
p-acp to
po22 your
n1 honour
. .
po22 Your
n2 loves
, ,
c-acp as
png11 mine
p-acp to
pn22 you
: :
uh-n farewell
. .
po11 My
ng1 father's
n1 spirit
p-acp in
n2 arms
! !
av-d all
vbz is
xx not
av well
; ;
pns11 I
vvb doubt
d some
j foul
n1 play
: :
vmd would
dt the
n1 night
vbd were
vvn come
! !
p-acp Till
av then
vvb sit
j still
, ,
po11 my
n1 soul
: :
j foul
n2 deeds
vmb will
vvi rise
, ,
c-acp Though
d all
dt the
n1 earth
vvb o'erwhelm
pno32 them
, ,
p-acp to
ng2 men's
n2 eyes
. .
po11 My
n2-j necessaries
vbb are
vvn embarked
: :
uh-n farewell
: :
cc And
, ,
n1 sister
, ,
c-acp as
dt the
n2 winds
vvb give
n1 benefit
cc And
vvb convey
vbz is
n1 assistant
, ,
vdb do
xx not
vvi sleep
, ,
cc-acp But
vvb let
pno11 me
vvi hear
pp from
pn22 you
. .
vdb Do
pn22 you
vvi doubt
d that
? ?
p-acp For
np1 Hamlet
cc and
dt the
n-vvg trifling
pp-f of
po31 his
n1 favour
, ,
vvb Hold
pn31 it
dt a
n1 fashion
cc and
dt a
n1 toy
p-acp in
n1 blood
, ,
dt A
n1 violet
p-acp in
dt the
n1 youth
pp-f of
j primy
n1 nature
, ,
av-j Forward
, ,
xx not
j permanent
, ,
j sweet
, ,
xx not
vvg lasting
, ,
dt The
n1 perfume
cc and
n1 suppliance
pp-f of
dt a
n1 minute
; ;
av-dx No
av-dc more
. .
av-dx No
dc more
p-acp but
av so
? ?
vvb Think
pn31 it
av-dx no
av-dc more
: :
p-acp For
n1 nature
, ,
j crescent
, ,
vdz does
xx not
vvi grow
av-j alone
p-acp In
n2 thews
cc and
n1 bulk
, ,
cc-acp but
, ,
c-acp as
d this
n1 temple
vvz waxes
, ,
dt The
j inward
n1 service
pp-f of
dt the
n1 mind
cc and
n1 soul
vvz Grows
av-j wide
av withal
. .
av Perhaps
pns31 he
vvz loves
pn22 you
av now
, ,
cc And
av now
dx no
n1 soil
ccx nor
n1 cautel
vdz doth
vvi besmirch
dt The
n1 virtue
pp-f of
po31 his
n1 will
: :
cc-acp but
pn22 you
vmb must
vvi fear
, ,
po31 His
n1 greatness
vvn weighed
, ,
po31 his
n1 will
vbz is
xx not
po31 his
d own
; ;
c-acp For
pns31 he
px31 himself
vbz is
j-jn subject
p-acp to
po31 his
n1 birth
: :
pns31 He
vmb may
xx not
, ,
c-acp as
j unvalued
n2 persons
vdb do
, ,
vvb Carve
p-acp for
px31 himself
; ;
p-acp for
p-acp on
po31 his
n1 choice
vvz depends
dt The
n1 safety
cc and
n1 health
pp-f of
d this
j-jn whole
n1 state
; ;
cc And
av therefore
vmb must
po31 his
n1 choice
vbi be
vvn circumscribed
pp Unto
dt the
n1 voice
cc and
n-vvg yielding
pp-f of
d that
n1 body
c-crq Whereof
pns31 he
vbz is
dt the
n1 head
. .
av Then
cs if
pns31 he
vvz says
pns31 he
vvz loves
pn22 you
, ,
pn31 It
vvz fits
po22 your
n1 wisdom
av so
av-j far
pc-acp to
vvi believe
pn31 it
c-acp As
pns31 he
p-acp in
po31 his
j particular
n1 act
cc and
n1 place
vmb May
vvi give
po31 his
n-vvg saying
n1 deed
; ;
r-crq which
vbz is
av-dx no
av-jc further
cs Than
dt the
j main
n1 voice
pp-f of
np1 Denmark
vvz goes
av withal
. .
av Then
vvb weigh
r-crq what
n1 loss
po22 your
n1 honour
vmb may
vvi sustain
, ,
cs If
pp with
av too
j credent
n1 ear
pn22 you
vvb list
po31 his
n2 songs
, ,
cc Or
vvb lose
po22 your
n1 heart
, ,
cc or
po22 your
j chaste
n1 treasure
vvb open
p-acp To
po31 his
j unmastered
n1 importunity
. .
vvb Fear
pn31 it
, ,
np1 Ophelia
, ,
vvb fear
pn31 it
, ,
po11 my
j-jn dear
n1 sister
, ,
cc And
vvb keep
pn22 you
p-acp in
dt the
n1 rear
pp-f of
po22 your
n1 affection
, ,
av Out
pp-f of
dt the
n1 shot
cc and
n1 danger
pp-f of
n1 desire
. .
dt The
js chariest
n1 maid
vbz is
j-jn prodigal
av-d enough
, ,
cs If
pns31 she
vvb unmask
po31 her
n1 beauty
p-acp to
dt the
n1 moon
: :
n1 Virtue
px31 itself
vvz scapes
xx not
j calumnious
n2 strokes
: :
dt The
n1 canker
vvz galls
dt the
n2 infants
pp-f of
dt the
n1 spring
, ,
av Too
av oft
p-acp before
po32 their
n2 buttons
vbb be
vvn disclosed
, ,
cc And
p-acp in
dt the
n1 morn
cc and
j-jn liquid
n1 dew
pp-f of
n1 youth
j Contagious
n2 blastments
vbb are
av-ds most
j imminent
. .
vbb Be
j wary
av then
; ;
js best
n1 safety
vvz lies
p-acp in
n1 fear
: :
n1 Youth
p-acp to
px31 itself
vvz rebels
, ,
c-acp though
pix none
av else
av-j near
. .
pns11 I
vmb shall
dt the
n1 effect
pp-f of
d this
j good
n1 lesson
vvi keep
, ,
p-acp As
n1 watchman
p-acp to
po11 my
n1 heart
. .
cc-acp But
, ,
j good
po11 my
n1 brother
, ,
vdb Do
xx not
, ,
c-acp as
d some
j ungracious
n2 pastors
vdb do
, ,
vvb Show
pno11 me
dt the
j steep
cc and
j thorny
n1 way
p-acp to
n1 heaven
; ;
cs Whiles
, ,
av-j like
dt a
j-vvn puffed
cc and
j reckless
n1 libertine
, ,
px31 Himself
dt the
n1 primrose
n1 path
pp-f of
n1 dalliance
vvz treads
, ,
cc And
vvz recks
xx not
po31 his
d own
n1 rede
. .
uh O
, ,
vvb fear
pno11 me
xx not
. .
pns11 I
vvb stay
av too
av-j long
: :
cc-acp but
av here
po11 my
n1 father
vvz comes
. .
dt A
j double
n-vvg blessing
vbz is
dt a
j double
n1 grace
; ;
n1 Occasion
vvz smiles
p-acp upon
dt a
ord second
n1 leave
. .
av Yet
av here
, ,
np1 Laertes
! !
a-acp aboard
, ,
a-acp aboard
, ,
p-acp for
n1 shame
! !
dt The
n1 wind
vvz sits
p-acp in
dt the
n1 shoulder
pp-f of
po22 your
n1 sail
, ,
cc And
pn22 you
vbb are
vvn stayed
p-acp for
. .
a-acp There
; ;
po11 my
n-vvg blessing
pp with
pno21 thee
! !
cc And
d these
d few
n2 precepts
p-acp in
po21 thy
n1 memory
vvb Look
pns21 thou
n1 character
. .
vvb Give
po21 thy
n2 thoughts
dx no
n1 tongue
, ,
ccx Nor
d any
j unproportioned
n1 thought
po31 his
n1 act
. .
vbb Be
pns21 thou
j-jn familiar
, ,
cc-acp but
p-acp by
dx no
n2 means
j vulgar
. .
d Those
n2 friends
pns21 thou
vh2 hast
, ,
cc and
po32 their
n1 adoption
vvn tried
, ,
vvb Grapple
pno32 them
pp unto
po21 thy
n1 soul
pp with
n2 hoops
pp-f of
n1 steel
; ;
cc-acp But
vdb do
xx not
vvi dull
po21 thy
n1 palm
pp with
n1 entertainment
pp-f Of
d each
j new-hatched
, ,
j unfledged
n1 courage
. .
vvb Beware
pp-f Of
n1 entrance
p-acp to
dt a
n1 quarrel
, ,
cc-acp but
vbg being
p-acp in
, ,
vvb|pn31 Bear't
cst that
dt the
n-vvn opposed
vmb may
vvi beware
pp-f of
pno21 thee
. .
vvb Give
d every
n1 man
po21 thy
n1 ear
, ,
cc-acp but
d few
po21 thy
n1 voice
; ;
vvb Take
d each
ng1 man's
n1 censure
, ,
cc-acp but
vvb reserve
po21 thy
n1 judgement
. .
j Costly
po21 thy
n1 habit
c-acp as
po21 thy
n1 purse
vmb can
vvi buy
, ,
cc-acp But
xx not
vvn expressed
p-acp in
n1 fancy
; ;
j rich
, ,
xx not
j gaudy
; ;
p-acp For
dt the
n1 apparel
av oft
vvz proclaims
dt the
n1 man
, ,
cc And
pns32 they
p-acp in
np1 France
pp-f of
dt the
js best
n1 rank
cc and
n1 station
vbb Are
pp-f of
dt a
av-ds most
j select
cc and
j generous
j-jn chief
p-acp in
d that
. .
av-dx Neither
dt a
n1 borrower
ccx nor
dt a
n1 lender
vbb be
; ;
p-acp For
n1 loan
av oft
vvz loses
av-d both
px31 itself
cc and
n1 friend
, ,
cc And
n-vvg borrowing
vvz dulls
dt the
n1 edge
pp-f of
n1 husbandry
. .
d This
p-acp above
d all
: :
p-acp to
po21 thine
d own
n1 self
vbb be
j true
, ,
cc And
pn31 it
vmb must
vvi follow
, ,
c-acp as
dt the
n1 night
dt the
n1 day
, ,
pns21 Thou
vm2 canst
xx not
av then
vbi be
j false
p-acp to
d any
n1 man
. .
uh-n Farewell
: :
po11 my
n-vvg blessing
n1 season
d this
p-acp in
pno21 thee
! !
av-d Most
av-j humbly
vdb do
pns11 I
vvi take
po11 my
n1 leave
, ,
po11 my
n1 lord
. .
dt The
n1 time
vvz invests
pn22 you
; ;
vvb go
; ;
po22 your
n2 servants
vvb tend
. .
uh-n Farewell
, ,
np1 Ophelia
; ;
cc and
vvb remember
av well
r-crq What
pns11 I
vhb have
vvn said
p-acp to
pn22 you
. .
pn31|vbz 'Tis
p-acp in
po11 my
n1 memory
vvn locked
, ,
cc And
pn22 you
px21 yourself
vmb shall
vvi keep
dt the
n1 key
pp-f of
pn31 it
. .
uh-n Farewell
. .
q-crq What
vbz|pn31 is't
, ,
np1 Ophelia
, ,
pns31 he
vhz hath
vvn said
p-acp to
pn22 you
? ?
av So
vvb please
pn22 you
, ,
pi something
vvg touching
dt the
n1 Lord
np1 Hamlet
. .
uh Marry
, ,
av well
vvn bethought
: :
pn31|vbz 'Tis
vvn told
pno11 me
, ,
pns31 he
vhz hath
av very
av oft
pp-f of
av-j late
vvn Given
j private
n1 time
p-acp to
pn22 you
; ;
cc and
pn22 you
px21 yourself
vhb Have
pp-f of
po22 your
n1 audience
vbn been
av-ds most
j free
cc and
j bounteous
: :
cs If
pn31 it
vbb be
av so
, ,
c-acp as
av so
pn31|vbz 'tis
vvn put
p-acp on
pno11 me
, ,
cc And
d that
p-acp in
n1 way
pp-f of
n1 caution
, ,
pns11 I
vmb must
vvi tell
pn22 you
, ,
pn22 You
vdb do
xx not
vvi understand
px21 yourself
av so
av-j clearly
c-acp As
pn31 it
vvz behooves
po11 my
n1 daughter
cc and
po22 your
n1 honour
. .
q-crq What
vbz is
p-acp between
pn22 you
? ?
vvb give
pno11 me
a-acp up
dt the
n1 truth
. .
pns31 He
vhz hath
, ,
po11 my
n1 lord
, ,
pp-f of
av-j late
vvn made
d many
n2 tenders
pp-f Of
po31 his
n1 affection
p-acp to
pno11 me
. .
n1 Affection
! !
uh pooh
! !
pn22 you
vvb speak
av-j like
dt a
j-jn green
n1 girl
, ,
j Unsifted
p-acp in
d such
j perilous
n1 circumstance
. .
vdb Do
pn22 you
vvi believe
po31 his
n2 tenders
, ,
c-acp as
pn22 you
vvb call
pno32 them
? ?
pns11 I
vdb do
xx not
vvi know
, ,
po11 my
n1 lord
, ,
r-crq what
pns11 I
vmd should
vvi think
. .
uh Marry
, ,
pns11 I
vmb will
vvi teach
pn22 you
: :
vvb think
px21 yourself
dt a
n1 baby
; ;
cst That
pn22 you
vhb have
vvn ta'en
d these
n2 tenders
p-acp for
j true
n1 pay
, ,
r-crq Which
vbb are
xx not
j-jn sterling
. .
vvb Tender
px21 yourself
av-dc more
av-jn dearly
; ;
cc Or
xx not
pc-acp to
vvi crack
dt the
n1 wind
pp-f of
dt the
j poor
n1 phrase
, ,
vvg Wringing
pn31 it
av thus
pn22|vmb you'll
vvi tender
pno11 me
dt a
n1 fool
. .
po11 My
n1 lord
, ,
pns31 he
vhz hath
vvn importuned
pno11 me
pp with
n1 love
p-acp In
j honourable
n1 fashion
. .
uh Ay
, ,
n1 fashion
pn22 you
vmb may
vvi call
pn31 it
; ;
vvb go
p-acp to
, ,
vvb go
p-acp to
. .
cc And
vhz hath
vvn given
n1 countenance
p-acp to
po31 his
n1 speech
, ,
po11 my
n1 lord
, ,
pp With
av almost
d all
dt the
j holy
n2 vows
pp-f of
n1 heaven
. .
uh Ay
, ,
n2 springes
pc-acp to
vvi catch
n2 woodcocks
. .
pns11 I
vdb do
vvi know
, ,
c-crq When
dt the
n1 blood
vvz burns
, ,
c-crq how
j-jn prodigal
dt the
n1 soul
vvz Lends
dt the
n1 tongue
n2 vows
: :
d these
n2 blazes
, ,
n1 daughter
, ,
vvg Giving
av-dc more
n1 light
cs than
n1 heat
, ,
j extinct
p-acp in
d both
, ,
av-j Even
p-acp in
po32 their
n1 promise
, ,
c-acp as
pn31 it
vbz is
vvg a-making
, ,
pn22 You
vmb must
xx not
vvi take
p-acp for
n1 fire
. .
pp From
d this
n1 time
vbb Be
pi something
jc scanter
pp-f of
po22 your
n1 maiden
n1 presence
; ;
vvb Set
po22 your
n2 entreatments
pp at
dt a
jc higher
n1 rate
cs Than
dt a
n1 command
pc-acp to
n1 parle
. .
p-acp For
n1 Lord
np1 Hamlet
, ,
vvb Believe
av so
d much
p-acp in
pno31 him
, ,
cst that
pns31 he
vbz is
j young
, ,
cc And
pp with
dt a
jc larger
n1 tether
vmb may
pns31 he
vvi walk
cs Than
vmb may
vbi be
vvn given
pn22 you
: :
p-acp in
d few
, ,
np1 Ophelia
, ,
vdb Do
xx not
vvi believe
po31 his
n2 vows
; ;
c-acp for
pns32 they
vbb are
n2 brokers
, ,
xx Not
pp-f of
d that
n1 dye
r-crq which
po32 their
n2 investments
vvb show
, ,
cc-acp But
j mere
n2 implorators
pp-f of
j unholy
n2 suits
, ,
vvg Breathing
av-j like
j-vvn sanctified
cc and
j pious
n2 bonds
, ,
dt The
jc better
pc-acp to
vvi beguile
. .
d This
vbz is
p-acp for
d all
: :
pns11 I
vmd would
xx not
, ,
p-acp in
j plain
n2 terms
, ,
pp from
d this
n1 time
av forth
, ,
vhb Have
pn22 you
av so
vvi slander
d any
n1 moment
